recency,frequency,monetary,r_rank_norm,f_rank_norm,m_rank_norm,RFM_score,customer_segment
240,1,257.3,47.46,43.48,82.76,3.32,Medium
148,2,521.37,69.62,91.93,93.38,4.47,High
98,6,297.36,81.31,99.68,85.58,4.44,High
537,1,119.39,4.56,43.48,54.15,2.19,Low
403,1,168.2,19.06,43.48,69.24,2.72,Low
50,1,43.29,90.79,43.48,12.39,1.64,Low
512,1,127.98,6.48,43.48,57.06,2.28,Low
223,1,165.8,51.86,43.48,68.56,2.95,Low
133,1,152.4,73.32,43.48,64.87,3.01,Medium
352,3,1771.11,26.14,97.68,99.12,4.39,High
209,1,135.58,54.69,43.48,59.58,2.72,Low
106,2,297.08,79.98,91.93,85.57,4.33,High
495,1,50.7,8.02,43.48,17.21,1.16,lost customers
147,1,288.76,69.99,43.48,85.07,3.56,Medium
358,1,77.57,25.28,43.48,34.71,1.79,Low
208,1,48.68,55.14,43.48,16.05,1.48,lost customers
92,1,47.29,82.56,43.48,15.04,1.66,Low
321,1,112.82,30.87,43.48,51.09,2.3,Low
177,1,36.22,62.8,43.48,7.5,1.29,lost customers
168,1,229.79,65.27,43.48,80.12,3.38,Medium
173,1,61.32,64.11,43.48,23.97,1.77,Low
434,1,100.77,14.95,43.48,45.96,2.03,Low
161,1,164.7,66.7,43.48,68.25,3.05,Medium
224,1,74.43,51.55,43.48,32.81,1.93,Low
566,2,384.28,2.34,91.93,89.99,3.87,Medium
173,1,24.84,64.11,43.48,1.55,1.13,lost customers
100,2,58.35,80.68,91.93,22.32,2.53,Low
369,2,73.34,23.68,91.93,32.16,2.38,Low
26,1,34.35,97.65,43.48,6.21,1.52,lost customers
295,1,62.78,34.57,43.48,24.98,1.58,lost customers
57,1,188.39,89.15,43.48,73.52,3.37,Medium
126,1,99.9,75.41,43.48,45.61,2.47,Low
148,1,102.53,69.62,43.48,46.7,2.46,Low
286,1,137.6,37.94,43.48,60.31,2.61,Low
86,1,284.73,83.78,43.48,84.78,3.65,Medium
357,1,109.13,25.53,43.48,49.75,2.22,Low
44,1,430.67,92.17,43.48,91.41,3.91,Medium
307,1,114.65,32.76,43.48,51.91,2.33,Low
40,2,286.82,93.51,91.93,84.95,4.41,High
51,1,75.11,90.36,43.48,33.18,2.23,Low
172,1,368.52,64.41,43.48,89.4,3.64,Medium
114,1,411.33,78.6,43.48,90.8,3.79,Medium
426,1,143.71,15.9,43.48,62.31,2.5,Low
292,3,1098.81,35.55,97.68,98.02,4.43,High
271,2,364.72,42.29,91.93,89.18,4.15,High
418,1,124.33,17.07,43.48,55.79,2.33,Low
278,1,212.8,40.58,43.48,77.69,3.13,Medium
498,2,190.62,7.53,91.93,74.01,3.45,Medium
58,1,68.43,88.88,43.48,29.09,2.1,Low
481,1,96.99,9.75,43.48,44.23,1.94,Low
141,1,55.22,71.36,43.48,20.2,1.72,Low
399,1,434.35,19.56,43.48,91.5,3.36,Medium
117,1,162.28,78.26,43.48,67.47,3.12,Medium
29,1,33.34,96.54,43.48,5.59,1.49,lost customers
320,4,62.01,31.05,98.88,24.45,2.31,Low
490,2,232.44,8.51,91.93,80.38,3.64,Medium
27,1,105.6,97.29,43.48,48.16,2.71,Low
197,2,115.2,57.82,91.93,52.17,3.21,Medium
408,1,31.58,18.22,43.48,4.33,0.87,lost customers
400,1,328.6,19.37,43.48,87.54,3.25,Medium
223,1,36.01,51.86,43.48,7.39,1.21,lost customers
58,1,72.08,88.88,43.48,31.24,2.17,Low
392,1,60.1,20.54,43.48,23.32,1.43,lost customers
231,1,162.06,49.87,43.48,67.4,2.9,Low
177,1,42.38,62.8,43.48,11.56,1.41,lost customers
200,1,42.0,57.31,43.48,11.35,1.36,lost customers
357,1,257.92,25.53,43.48,82.82,3.16,Medium
281,1,165.5,39.3,43.48,68.46,2.85,Low
218,1,182.84,52.84,43.48,72.45,3.07,Medium
242,1,67.39,47.19,43.48,28.28,1.77,Low
223,2,1117.84,51.86,91.93,98.06,4.47,High
489,1,29.1,8.67,43.48,3.29,0.77,lost customers
343,3,654.48,27.49,97.68,95.2,4.29,High
246,1,78.9,46.03,43.48,35.52,1.97,Low
415,1,141.23,17.3,43.48,61.56,2.49,Low
391,1,79.1,20.73,43.48,35.59,1.78,Low
93,1,84.66,82.17,43.48,38.25,2.32,Low
22,1,1318.06,98.48,43.48,98.53,4.16,High
166,1,222.92,65.82,43.48,79.28,3.36,Medium
555,1,110.3,2.89,43.48,50.14,2.06,Low
231,1,119.84,49.87,43.48,54.33,2.53,Low
140,1,46.19,71.82,43.48,14.38,1.56,lost customers
180,1,102.38,62.42,43.48,46.66,2.41,Low
229,1,153.09,50.55,43.48,65.04,2.84,Low
127,1,65.22,74.97,43.48,26.89,1.94,Low
83,3,747.15,84.68,97.68,96.16,4.74,Top
510,2,18.25,6.66,91.93,0.22,1.34,lost customers
245,1,133.49,46.43,43.48,58.87,2.63,Low
583,1,58.62,1.17,43.48,22.49,1.26,lost customers
175,1,135.72,63.49,43.48,59.65,2.78,Low
408,1,94.3,18.22,43.48,42.96,1.97,Low
387,1,222.24,21.11,43.48,79.22,3.02,Medium
140,1,181.82,71.82,43.48,72.3,3.21,Medium
187,1,159.03,60.76,43.48,66.66,2.96,Low
586,1,169.01,1.07,43.48,69.47,2.6,Low
200,1,67.3,57.31,43.48,28.22,1.84,Low
64,1,45.19,88.19,43.48,13.69,1.66,Low
161,1,74.22,66.7,43.48,32.73,2.04,Low
314,1,19.33,31.76,43.48,0.32,0.86,lost customers
307,1,422.16,32.76,43.48,91.18,3.45,Medium
181,2,153.72,62.16,91.93,65.23,3.61,Medium
287,1,130.57,37.33,43.48,57.94,2.54,Low
182,1,179.04,61.87,43.48,71.8,3.12,Medium
126,1,436.14,75.41,43.48,91.54,3.78,Medium
92,1,151.89,82.56,43.48,64.76,3.07,Medium
560,1,74.41,2.54,43.48,32.8,1.56,lost customers
497,1,86.73,7.69,43.48,39.33,1.79,Low
491,2,204.04,8.29,91.93,76.36,3.53,Medium
523,2,133.49,5.74,91.93,58.87,3.01,Medium
272,1,116.36,41.99,43.48,52.69,2.43,Low
510,1,74.94,6.66,43.48,33.0,1.6,lost customers
133,1,40.13,73.32,43.48,10.29,1.45,lost customers
495,1,95.76,8.02,43.48,43.65,1.91,Low
69,1,53.34,87.6,43.48,18.86,1.8,Low
281,1,96.8,39.3,43.48,44.1,2.16,Low
573,1,80.14,1.93,43.48,36.06,1.65,Low
75,1,34.23,86.41,43.48,6.18,1.43,lost customers
216,1,147.15,53.55,43.48,63.36,2.82,Low
223,2,402.16,51.86,91.93,90.53,4.26,High
309,1,173.82,32.28,43.48,70.58,2.86,Low
484,1,52.38,9.18,43.48,18.23,1.2,lost customers
100,1,104.08,80.68,43.48,47.43,2.57,Low
425,1,41.59,16.09,43.48,11.05,1.04,lost customers
482,1,31.82,9.57,43.48,4.58,0.81,lost customers
113,1,149.45,78.93,43.48,64.15,3.03,Medium
161,1,22.38,66.7,43.48,0.99,1.14,lost customers
331,1,294.7,28.95,43.48,85.42,3.26,Medium
560,1,116.24,2.54,43.48,52.61,2.13,Low
436,1,462.87,14.64,43.48,92.18,3.35,Medium
141,1,133.63,71.36,43.48,58.92,2.82,Low
124,1,35.19,76.21,43.48,6.82,1.37,lost customers
379,1,130.01,22.26,43.48,57.78,2.42,Low
42,5,1449.5,92.9,99.41,98.78,4.9,Top
597,1,57.51,0.5,43.48,21.6,1.23,lost customers
154,1,201.84,68.41,43.48,76.02,3.29,Medium
503,1,60.86,7.25,43.48,23.69,1.34,lost customers
371,1,69.14,23.43,43.48,29.52,1.63,Low
167,1,188.97,65.58,43.48,73.66,3.2,Medium
307,1,71.22,32.76,43.48,30.82,1.73,Low
287,5,73.34,37.33,99.41,32.16,2.59,Low
148,1,98.7,69.62,43.48,45.02,2.41,Low
475,1,60.01,10.5,43.48,23.26,1.35,lost customers
106,1,247.68,79.98,43.48,81.92,3.54,Medium
359,1,28.09,25.06,43.48,2.85,0.88,lost customers
126,1,109.59,75.41,43.48,49.92,2.6,Low
488,1,52.68,8.82,43.48,18.4,1.2,lost customers
547,1,355.95,3.57,43.48,88.83,3.17,Medium
77,2,198.22,85.88,91.93,75.46,4.08,High
133,1,106.9,73.32,43.48,48.8,2.55,Low
215,1,145.11,53.87,43.48,62.77,2.8,Low
435,1,75.07,14.8,43.48,33.08,1.66,Low
289,1,185.94,36.12,43.48,73.01,2.96,Low
189,1,86.02,60.04,43.48,38.93,2.17,Low
196,1,160.76,58.25,43.48,67.09,2.96,Low
186,1,157.51,61.02,43.48,66.24,2.95,Low
336,1,81.63,28.47,43.48,36.6,1.87,Low
190,1,48.08,59.68,43.48,15.64,1.5,lost customers
239,1,45.48,47.78,43.48,13.88,1.36,lost customers
124,1,43.23,76.21,43.48,12.33,1.53,lost customers
281,1,40.09,39.3,43.48,10.22,1.19,lost customers
491,1,115.94,8.29,43.48,52.5,2.17,Low
28,1,83.45,96.93,43.48,37.63,2.41,Low
237,3,2002.68,48.51,97.68,99.31,4.56,Top
548,1,39.42,3.44,43.48,9.85,0.92,lost customers
183,1,1391.13,61.49,43.48,98.68,3.88,Medium
19,1,67.36,99.42,43.48,28.26,2.16,Low
474,1,142.97,10.66,43.48,62.07,2.46,Low
124,1,65.42,76.21,43.48,26.97,1.95,Low
242,1,119.25,47.19,43.48,54.09,2.5,Low
267,1,27.78,42.88,43.48,2.69,1.01,lost customers
50,1,32.43,90.79,43.48,5.04,1.43,lost customers
96,2,196.68,81.81,91.93,75.18,4.04,High
328,1,178.47,29.68,43.48,71.69,2.87,Low
408,1,291.12,18.22,43.48,85.2,3.17,Medium
176,1,134.8,63.09,43.48,59.31,2.77,Low
148,1,99.95,69.62,43.48,45.68,2.43,Low
537,1,100.91,4.56,43.48,46.0,1.95,Low
64,1,49.45,88.19,43.48,16.56,1.74,Low
314,1,197.1,31.76,43.48,75.25,2.99,Low
120,1,167.97,77.1,43.48,69.18,3.16,Medium
188,1,154.55,60.41,43.48,65.44,2.93,Low
202,1,126.33,56.75,43.48,56.5,2.64,Low
49,1,170.44,91.18,43.48,69.79,3.28,Medium
372,1,45.03,23.21,43.48,13.51,1.17,lost customers
26,1,176.88,97.65,43.48,71.32,3.37,Medium
372,1,85.73,23.21,43.48,38.78,1.89,Low
265,1,99.43,43.49,43.48,45.34,2.23,Low
491,2,823.88,8.29,91.93,96.76,4.11,High
329,2,123.0,29.47,91.93,55.31,3.08,Medium
114,2,184.78,78.6,91.93,72.78,3.95,Medium
26,1,142.82,97.65,43.48,62.02,3.11,Medium
215,1,93.3,53.87,43.48,42.55,2.23,Low
193,1,57.68,59.22,43.48,21.77,1.67,Low
37,2,168.68,93.99,91.93,69.39,3.97,Medium
301,1,71.04,33.49,43.48,30.64,1.73,Low
420,1,102.03,16.7,43.48,46.49,2.06,Low
464,1,185.55,11.6,43.48,72.91,2.77,Low
457,1,63.1,12.43,43.48,25.2,1.42,lost customers
118,1,82.33,77.93,43.48,36.93,2.25,Low
229,1,40.05,50.55,43.48,10.18,1.28,lost customers
22,1,60.42,98.48,43.48,23.46,2.02,Low
485,2,62.28,9.0,91.93,24.61,2.06,Low
195,1,28.09,58.59,43.48,2.85,1.13,lost customers
175,1,68.22,63.49,43.48,28.92,1.91,Low
309,1,103.55,32.28,43.48,47.25,2.2,Low
133,1,87.02,73.32,43.48,39.48,2.28,Low
355,2,377.44,25.94,91.93,89.77,4.04,High
186,1,48.22,61.02,43.48,15.8,1.52,lost customers
324,1,56.78,30.21,43.48,21.07,1.44,lost customers
279,1,267.99,40.21,43.48,83.65,3.29,Medium
245,1,29.09,46.43,43.48,3.27,1.05,lost customers
173,1,96.08,64.11,43.48,43.75,2.34,Low
26,1,80.45,97.65,43.48,36.19,2.37,Low
448,1,180.6,13.52,43.48,72.07,2.76,Low
245,1,127.92,46.43,43.48,57.03,2.58,Low
356,1,35.0,25.74,43.48,6.56,0.99,lost customers
203,1,109.92,56.36,43.48,50.03,2.46,Low
184,1,99.43,61.2,43.48,45.34,2.36,Low
147,2,535.0,69.99,91.93,93.58,4.48,High
358,1,107.53,25.28,43.48,49.06,2.2,Low
47,2,244.0,91.81,91.93,81.57,4.3,High
